protobuf 21.7-1
pscircle 1.3.1-1
psmisc 23.5-1
pulseaudio 16.1-1
pulseaudio-alsa 1:1.2.7.1-1
pycharm-professional 2022.2.2-1
pyenv 2.3.5-1
python 3.10.7-1
python-alembic 1.7.5-1
python-appdirs 1.4.4-7
python-argcomplete 2.0.0-1
python-autocommand 2.2.1-1
python-babel 2.10.3-1
python-bcrypt 4.0.1-1
python-blinker 1.5-1
python-brotli 1.0.9-8
python-cairo 1.21.0-1
python-cffi 1.15.1-1
python-click 8.1.3-1
python-cryptography 38.0.1-1
python-cssselect 1.1.0-9
python-dateutil 2.8.2-4
python-decorator 5.1.1-1
python-distro 1.7.0-1
python-dnspython 1:2.2.1-1
python-docopt 0.6.2-11
python-editor 1.0.4-8
python-email-validator 1.3.0-1
python-extras 1.0.0-10
python-fixtures 4.0.1-1
python-flask 2.2.2-1
python-flask-babelex 0.9.4-5
python-flask-compress 1.12-1
python-flask-gravatar 0.5.0-7
python-flask-login 0.6.2-1
python-flask-mail 0.9.1-8
python-flask-migrate 3.1.0-1
python-flask-paranoid 0.3.0-1
python-flask-principal 0.4.0-8
python-flask-security-too 4.1.5-1
python-flask-sqlalchemy 2.5.1-3
python-flask-wtf 1.0.1-1
python-gobject 3.42.2-1
python-gssapi 1.8.0-1
